ticker,name,category
FUTU,Futu Holdings,International broker / high beta
TIGR,UP Fintech Holding,International broker / high beta
SOFI,SoFi Technologies,Fintech
HOOD,Robinhood Markets,Fintech
RIVN,Rivian Automotive,EV
LCID,Lucid Group,EV
RUN,Sunrun,Solar
SEDG,SolarEdge Technologies,Israel / solar
ENPH,Enphase Energy,Solar
PLUG,Plug Power,Clean energy
CHPT,ChargePoint,EV charging
OPEN,Opendoor Technologies,Real estate tech
WBD,Warner Bros Discovery,Media turnaround
PARA,Paramount Global,Media turnaround
ROKU,Roku,Streaming / ads
U,Unity Software,Software / gaming
PATH,UiPath,Automation
LMND,Lemonade,Israel / insurance tech
WIX,Wix.com,Israel / software
FVRR,Fiverr International,Israel / marketplace
GLBE,Global-e Online,Israel / ecommerce
INMD,InMode,Israel / medical devices
NICE,NICE Ltd,Israel / software ADR
MNDY,monday.com,Israel / software
CYBR,CyberArk Software,Israel / cybersecurity
PERI,Perion Network,Israel / ad tech
CAMT,Camtek,Israel / semiconductor equipment
TSEM,Tower Semiconductor,Israel / semiconductor
ITRN,Ituran Location and Control,Israel / telematics
NVMI,Nova Ltd,Israel / metrology
KRNT,Kornit Digital,Israel / digital printing
SPNS,Sapiens International,Israel / software
AUDC,AudioCodes,Israel / communications
CELU,Celularity,Biotech small cap
BNGO,Bionano Genomics,Biotech small cap
DNA,Ginkgo Bioworks,Biotech high risk
IONQ,IonQ,Quantum computing
QBTS,D-Wave Quantum,Quantum computing
RGTI,Rigetti Computing,Quantum computing
